current_url,new_url
https://www.clir.org/pubs/reports/pub78/appendixd/,http://localhost:4000/archives.clir.org/reports/pub078/#appendix-d-other-acls-clir-projects
https://www.clir.org/pubs/reports/pub79/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/wp-content/uploads/sites/6/pub79_57d70f709d4d7.pdf,https://doi.org/10.5281/zenodo.7756796
https://www.clir.org/pubs/reports/pub79/contents/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/summary/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/summary/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/activities/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/activities/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/invited/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/scenarios/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/acceptance/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/convenors/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/unanticipated/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/conclusions/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/appendixa/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/appendixb/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/appendixc/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub79/appendixd/,http://localhost:4000/archives.clir.org/reports/pub079/
https://www.clir.org/pubs/reports/pub80-smith/pub80-2/,http://localhost:4000/archives.clir.org/reports/pub080
https://www.clir.org/pubs/reports/pub81/,http://localhost:4000/archives.clir.org/reports/pub081
https://www.clir.org/pubs/reports/pub81/pub81text/,http://localhost:4000/archives.clir.org/reports/pub081
https://www.clir.org/wp-content/uploads/sites/6/pub81.pdf, https://doi.org/10.5281/zenodo.7757889
https://www.clir.org/pubs/reports/pub82/,http://localhost:4000/archives.clir.org/reports/pub082/
https://www.clir.org/wp-content/uploads/sites/6/pub82.pdf,https://doi.org/10.5281/zenodo.7759906
https://www.clir.org/pubs/reports/pub82/fullreport/,https://www.clir.org/pubs/reports/pub82/
https://www.clir.org/pubs/reports/pub83/,http://localhost:4000/archives.clir.org/reports/pub083/
https://www.clir.org/wp-content/uploads/sites/6/pub83.pdf,https://doi.org/10.5281/zenodo.7759925
https://www.clir.org/pubs/reports/pub83/background/,http://localhost:4000/archives.clir.org/reports/pub083/#background-and-project-description
https://www.clir.org/pubs/reports/pub83/data/,http://localhost:4000/archives.clir.org/reports/pub083/#the-data-track
https://www.clir.org/pubs/reports/pub83/documentation/,http://localhost:4000/archives.clir.org/reports/pub083/#the-documentation-track
https://www.clir.org/pubs/reports/pub83/findings/,http://localhost:4000/archives.clir.org/reports/pub083/#findings-and-recommendations
https://www.clir.org/pubs/reports/pub83/glossary/,http://localhost:4000/archives.clir.org/reports/pub083/#glossary
https://www.clir.org/pubs/reports/pub83/references/,http://localhost:4000/archives.clir.org/reports/pub083/#reference-list
https://www.clir.org/pubs/reports/pub96/appendix1/,http://localhost:4000/archives.clir.org/reports/pub083/#appendix-1-conference-participants
https://www.clir.org/pubs/reports/pub83/appendix2/,http://localhost:4000/archives.clir.org/reports/pub083/#appendix-2-sample-sas-input-and-recode-statements
https://www.clir.org/pubs/reports/pub83/appendix3/,http://localhost:4000/archives.clir.org/reports/pub083/#appendix-3-data-conversion-formats-and-storage-requirements
https://www.clir.org/pubs/reports/pub83/appendix4/,http://localhost:4000/archives.clir.org/reports/pub083/#appendix-4-programs-to-create-spread-ascii-datasets
https://www.clir.org/pubs/reports/pub83/appendix5/,http://localhost:4000/archives.clir.org/reports/pub083/#appendix-5-data-map-for-column-binary-spread-data
https://www.clir.org/pubs/reports/pub83/appendix6a/,http://localhost:4000/archives.clir.org/reports/pub083/#appendix-6
https://www.clir.org/pubs/reports/pub83/appendix6b/,http://localhost:4000/archives.clir.org/reports/pub083/#appendix-6
https://www.clir.org/pubs/reports/pub83/appendix6c/,http://localhost:4000/archives.clir.org/reports/pub083/#appendix-6
https://www.clir.org/pubs/reports/pub83/supplementary/,http://localhost:4000/archives.clir.org/reports/pub083/#preserving-the-whole-supplementary-materials
https://www.clir.org/wp-content/uploads/sites/6/2016/09/edited_version.pdf,https://doi.org/10.5281/zenodo.7760040
https://www.clir.org/wp-content/uploads/sites/6/2016/09/unedited_version.pdf,https://doi.org/10.5281/zenodo.7760040
https://www.clir.org/wp-content/uploads/sites/6/2016/09/image_only.pdf,https://doi.org/10.5281/zenodo.7760040
https://www.clir.org/wp-content/uploads/sites/6/2016/09/unedited_version_only.pdf,https://doi.org/10.5281/zenodo.7760040
https://www.clir.org/pubs/reports/pub83/200x200/,http://localhost:4000/archives.clir.org/reports/pub083/#200200html
https://www.clir.org/pubs/reports/pub83/300x300/,http://localhost:4000/archives.clir.org/reports/pub083/#300x300html
https://www.clir.org/pubs/reports/pub83/400x400/,http://localhost:4000/archives.clir.org/reports/pub083/#400400html
https://www.clir.org/pubs/reports/pub83/600x600/,http://localhost:4000/archives.clir.org/reports/pub083/#600600html
https://www.clir.org/pubs/reports/pub84/,http://localhost:4000/archives.clir.org/reports/pub084/
https://www.clir.org/wp-content/uploads/sites/6/pub84.pdf,https://doi.org/10.5281/zenodo.7760115
https://www.clir.org/pubs/reports/pub85/,http://localhost:4000/archives.clir.org/reports/pub085/
https://www.clir.org/wp-content/uploads/sites/6/pub85.pdf,https://doi.org/10.5281/zenodo.7760137
